layers1,layers2,filters1,filters2,crossentropy,accuracy
1,1,32,32,0.5248006582,0.7409837842
1,1,32,64,0.5150298476,0.7482175827
1,1,32,128,0.4812727273,0.7717360854
1,1,64,32,0.5151952505,0.747071743
1,1,64,64,0.4896920323,0.7652719617
1,1,64,128,0.4720515609,0.7773958445
1,1,128,32,0.5338502526,0.7338020802
1,1,128,64,0.4992655814,0.7589062452
1,1,128,128,0.4629275501,0.7871527672
1,2,32,32,0.498328954,0.7581886649
1,2,32,64,0.4505317807,0.7908738256
1,2,32,128,0.4414106309,0.7990335822
1,2,64,32,0.5392256975,0.7260821462
1,2,64,64,0.4495520592,0.7913426161
1,2,64,128,0.4420038462,0.7980034947
1,2,128,32,0.4471468925,0.7946238518
1,2,128,64,0.4403472543,0.7992245555
1,2,128,128,0.4364251792,0.8015220165
1,4,32,32,0.4469177723,0.7944039106
1,4,32,64,0.43854931,0.7999594808
1,4,32,128,0.4169404805,0.8112731576
1,4,64,32,0.4847266078,0.7693750262
1,4,64,64,0.4245689213,0.8068749905
1,4,64,128,0.4216091633,0.8085995317
1,4,128,32,0.4541513026,0.788900435
1,4,128,64,0.4382318854,0.7992361188
1,4,128,128,0.417509079,0.8111574054
2,1,32,32,0.5016712546,0.756221056
2,1,32,64,0.4540284574,0.7898784876
2,1,32,128,0.455868274,0.7910358906
2,1,64,32,0.4570417404,0.788969934
2,1,64,64,0.4386890531,0.8002141118
2,1,64,128,0.4404241145,0.7981597185
2,1,128,32,0.4627473056,0.7825925946
2,1,128,64,0.4326761365,0.8030729294
2,1,128,128,0.4320888519,0.8036805391
2,2,32,32,0.4732553959,0.7770602107
2,2,32,64,0.4515153766,0.7924131751
2,2,32,128,0.4379993081,0.7985474467
2,2,64,32,0.4487953484,0.794398129
2,2,64,64,0.4303198755,0.8045370579
2,2,64,128,0.4249741733,0.8069965243
2,2,128,32,0.4437018037,0.798287034
2,2,128,64,0.4284760058,0.804849565
2,2,128,128,0.4216817319,0.8091551065
2,4,32,32,0.4700190425,0.7789988518
2,4,32,64,0.4355930686,0.8011979461
2,4,32,128,0.4287699759,0.805486083
2,4,64,32,0.4590417445,0.7873958349
2,4,64,64,0.4362005293,0.7998148203
2,4,64,128,0.4187048376,0.8102604151
2,4,128,32,0.4468126595,0.7933564782
2,4,128,64,0.4194820523,0.8103761673
2,4,128,128,0.4164595008,0.8102893233
4,1,32,32,0.5032303929,0.7541087866
4,1,32,64,0.4720098972,0.7772453427
4,1,32,128,0.4370431304,0.8009664416
4,1,64,32,0.4987974167,0.7577604055
4,1,64,64,0.454033941,0.7896238565
4,1,64,128,0.4642288387,0.7806712985
4,1,128,32,0.4412949383,0.798755765
4,1,128,64,0.4348648489,0.80264467
4,1,128,128,0.4273764789,0.8053761721
4,2,32,32,0.514064312,0.746637702
4,2,32,64,0.4700271785,0.7768576145
4,2,32,128,0.4237030149,0.8076736331
4,2,64,32,0.4820261002,0.7701967359
4,2,64,64,0.4305245876,0.8046007156
4,2,64,128,0.4262453318,0.8068634272
4,2,128,32,0.4659491181,0.7822800875
4,2,128,64,0.4226603508,0.8071932793
4,2,128,128,0.4183762074,0.8107349277
4,4,32,32,0.4376160204,0.7999421358
4,4,32,64,0.4261834621,0.8058043718
4,4,32,128,0.4191382229,0.8109548688
4,4,64,32,0.5220491886,0.7402256727
4,4,64,64,0.4229019284,0.8071122766
4,4,64,128,0.4169310927,0.8111168742
4,4,128,32,0.4685666263,0.7786400318
4,4,128,64,0.4254614115,0.8072280288
4,4,128,128,0.4155853987,0.812517345
