batchSize, learnRate, crossentropy, accuracy
72, 0.001, 0.4237040579319, 0.8079456090927124
72, 0.005, 0.4370546340942383, 0.8018981218338013
72, 0.0001, 0.4159937798976898, 0.8117303252220154
72, 0.0005, 0.41964492201805115, 0.8102719783782959
72, 1e-05, 0.4647827744483948, 0.7815971970558167
144, 0.001, 0.4203105568885803, 0.8100867867469788
144, 0.005, 0.4647040069103241, 0.7832812666893005
144, 0.0001, 0.4187983274459839, 0.8100867867469788
144, 0.0005, 0.4167707860469818, 0.8121238350868225
144, 1e-05, 0.4537253677845001, 0.789600670337677
288, 0.001, 0.4181981384754181, 0.8109201192855835
288, 0.005, 0.4180740416049957, 0.8118518590927124
288, 0.0001, 0.4239960312843323, 0.8069213032722473
288, 0.0005, 0.41516801714897156, 0.8115682601928711
288, 1e-05, 0.5293421149253845, 0.7359548807144165
576, 0.001, 0.4179227650165558, 0.8104687333106995
576, 0.005, 0.4284061789512634, 0.8041261434555054
576, 0.0001, 0.4332924485206604, 0.8013368248939514
576, 0.0005, 0.4156416058540344, 0.8115162253379822
576, 1e-05, 0.5426951050758362, 0.7209374904632568
